vin,year,make,model,trim,body,transmission,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
5uxkr0c57f0k68279,2015,BMW,X5,xDrive35i,suv,,pa,5.0,1342.0,black,beige,r hollenshead auto sales inc,55000.0,53000.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
5uxxw5c5xf0e87655,2015,BMW,X4,xDrive35i,SUV,automatic,tx,5.0,11325.0,black,brown,music city autoplex llc,51000.0,48500.0,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
wbavl1c56fvy26418,2015,BMW,X1,xDrive28i,SUV,automatic,fl,49.0,4127.0,white,red,ebenzz motors,32200.0,34300.0,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
wbavl1c55fvy33019,2015,BMW,X1,xDrive28i,suv,automatic,ga,5.0,501.0,silver,black,flag/capital eurocars inc,34600.0,32500.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
5uxkr6c58f0j74107,2015,BMW,X5,xDrive50i,SUV,automatic,ga,47.0,6984.0,white,brown,mercedes benz of columbus,65000.0,69300.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
5uxkr0c52f0k66262,2015,BMW,X5,xDrive35i,SUV,automatic,fl,47.0,18897.0,white,beige,sixt rent a car llc,48200.0,46800.0,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
5uxkr0c56f0k61274,2015,BMW,X5,xDrive35i,suv,,pa,5.0,4308.0,beige,beige,adcock brothers inc,53500.0,51000.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
wbs3r9c57ff708761,2015,BMW,M4,Base,coupe,automatic,ga,45.0,4993.0,blue,black,bryan honda,68000.0,69500.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
5uxkr0c50f0k67135,2015,BMW,X5,xDrive35i,SUV,automatic,ca,43.0,15299.0,silver,black,sixt rent a car llc,50000.0,46000.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
wbs3r9c52fk329996,2015,BMW,M4,Base,coupe,automatic,ca,46.0,7118.0,blue,black,costa mesa nissan,67000.0,67500.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
wbs3r9c51fk333134,2015,BMW,M4,Base,Coupe,manual,ca,5.0,5302.0,black,orange,mbz 4 less,68000.0,67250.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
wba3v5c54fp751523,2015,BMW,4 Series,428i,Convertible,automatic,ca,41.0,22483.0,white,tan,sixt rent a car llc,44100.0,40000.0,Tue May 26 2015 05:45:00 GMT-0700 (PDT)
wba3b5c5xff959744,2015,BMW,3 Series,328i xDrive SULEV,Sedan,,pa,47.0,964.0,beige,black,bmw of warwick,37000.0,34700.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
wba3a5c52ff606207,2015,BMW,3 Series,328i,Sedan,automatic,ca,41.0,24910.0,white,beige,sixt rent a car llc,31300.0,30000.0,Tue May 26 2015 05:45:00 GMT-0700 (PDT)
wbslz9c56fd651321,2015,BMW,M6,Base,convertible,automatic,nj,39.0,1845.0,,,financial services remarketing (lease),109000.0,98000.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
wba3c1c53fk118636,2015,BMW,3 Series,328i SULEV,Sedan,automatic,ca,49.0,3419.0,gray,black,financial services remarketing (lease),35300.0,33250.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
5uxkr0c50f0k67880,2015,BMW,X5,xDrive35i,SUV,automatic,pa,49.0,1924.0,brown,black,r hollenshead auto sales inc,56000.0,50250.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
wba3c1c50fp851147,2015,BMW,3 Series,328i SULEV,Sedan,automatic,ca,44.0,5216.0,white,black,apexcars net,34800.0,31000.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
wba5b1c52fd919185,2015,BMW,5 Series,535i,Sedan,automatic,ca,44.0,5111.0,white,black,financial services remarketing (lease),55300.0,53000.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
5uxkr0c53f0k61586,2015,BMW,X5,xDrive35i,SUV,,pa,48.0,5376.0,black,black,bmw of mamaroneck,53500.0,44800.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
5uxwx9c53f0d46202,2015,BMW,X3,xDrive28i,SUV,automatic,wa,42.0,18980.0,black,black,sixt rent a car llc,29700.0,28800.0,Wed May 27 2015 06:20:00 GMT-0700 (PDT)
wball5c58fp556935,2015,BMW,Z4,sDrive28i,Convertible,automatic,wi,44.0,865.0,black,white,feldmann imports inc,45900.0,44500.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
wba5m2c54fd872063,2015,BMW,5 Series Gran Turismo,535i,hatchback,automatic,ca,47.0,6436.0,gray,black,financial services remarketing (lease),48100.0,53500.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
wba3b1g50fnt01875,2015,BMW,3 Series,320i,Sedan,automatic,ca,48.0,2423.0,white,black,financial services remarketing (lease),30900.0,28500.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
wba3b1c59fk136657,2015,BMW,3 Series,320i,sedan,automatic,ca,46.0,7335.0,black,black,financial services remarketing (lease),28400.0,27500.0,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
wba3n7c54fk222159,2015,BMW,4 Series,428i SULEV,coupe,automatic,ca,47.0,2811.0,white,black,financial services remarketing (lease),38000.0,35500.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
wba3a5g50fns81959,2015,BMW,3 Series,328i,Sedan,automatic,fl,46.0,4304.0,silver,black,lauderdale imports ltd bmw pembrok pines,35800.0,32500.0,Fri Jun 12 2015 02:35:00 GMT-0700 (PDT)
wbavm5c51fvv93813,2015,BMW,X1,xDrive35i,SUV,automatic,oh,5.0,5360.0,beige,beige,bmw north america greer,33200.0,32750.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c58fvy29451,2015,BMW,X1,xDrive28i,SUV,automatic,oh,43.0,12004.0,black,black,bmw north america greer,30800.0,30000.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm5c59fvv94093,2015,BMW,X1,xDrive35i,SUV,automatic,oh,5.0,5235.0,gray,beige,bmw north america greer,33200.0,34000.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm1c54fvw58095,2015,BMW,X1,sDrive28i,SUV,automatic,oh,48.0,10585.0,black,beige,bmw north america greer,26000.0,25500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm1c57fvw57488,2015,BMW,X1,sDrive28i,SUV,automatic,oh,45.0,13341.0,gray,beige,bmw north america greer,25900.0,24500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm1c5xfvw56917,2015,BMW,X1,sDrive28i,SUV,automatic,oh,49.0,11540.0,—,black,bmw north america greer,26000.0,27750.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbalm7c52fj798910,2015,BMW,Z4,sDrive35i,Convertible,automatic,oh,48.0,5167.0,gray,—,bmw north america greer,49500.0,50000.0,Tue Feb 24 2015 06:00:00 GMT-0800 (PST)
wbavl1c51fvy26634,2015,BMW,X1,xDrive28i,SUV,automatic,oh,5.0,5310.0,white,black,bmw north america greer,31600.0,32500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c5xfvy29211,2015,BMW,X1,xDrive28i,SUV,automatic,oh,48.0,5028.0,black,black,bmw north america greer,31700.0,31250.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c56fvy24572,2015,BMW,X1,xDrive28i,SUV,automatic,oh,49.0,8138.0,beige,beige,bmw north america greer,31300.0,31750.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm1c53fvw57469,2015,BMW,X1,sDrive28i,SUV,automatic,oh,49.0,19055.0,white,black,bmw north america greer,25400.0,23750.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm1c58fvw58097,2015,BMW,X1,sDrive28i,SUV,automatic,oh,49.0,5614.0,brown,black,bmw north america greer,26400.0,25500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wball5c59fp557317,2015,BMW,Z4,sDrive28i,Convertible,automatic,oh,49.0,5397.0,gray,—,bmw north america greer,42300.0,40500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c53fvy25131,2015,BMW,X1,xDrive28i,SUV,automatic,oh,44.0,4739.0,beige,—,bmw north america raa,50600.0,52750.0,Tue Jun 16 2015 07:00:00 GMT-0700 (PDT)
wbavl1c59fvy29376,2015,BMW,X1,xDrive28i,SUV,automatic,oh,5.0,5243.0,white,black,bmw north america greer,31600.0,33250.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm5c55fvv93457,2015,BMW,X1,xDrive35i,SUV,automatic,oh,44.0,13203.0,—,black,bmw north america greer,31800.0,30750.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm1c5xfvz94110,2015,BMW,X1,sDrive28i,SUV,automatic,oh,5.0,5163.0,—,black,bmw north america greer,26400.0,24500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c55fvy32257,2015,BMW,X1,xDrive28i,SUV,automatic,oh,49.0,6382.0,black,black,bmw north america greer,31500.0,32000.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c5xfvy26597,2015,BMW,X1,xDrive28i,SUV,automatic,oh,49.0,11340.0,gray,black,bmw north america greer,30900.0,31000.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavl1c56fvy24992,2015,BMW,X1,xDrive28i,SUV,automatic,oh,49.0,10824.0,—,black,bmw north america greer,30900.0,29750.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wba3c1c53fp852812,2015,BMW,3 Series,328i SULEV,Sedan,automatic,ca,45.0,11616.0,black,—,enterprise vehicle exchange/orange,33000.0,31000.0,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
wbavm1c58fvz94168,2015,BMW,X1,sDrive28i,SUV,automatic,oh,45.0,8677.0,white,beige,bmw north america greer,26200.0,26500.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wbavm5c55fvv94222,2015,BMW,X1,xDrive35i,SUV,automatic,oh,48.0,5174.0,gray,black,bmw north america greer,33200.0,34000.0,Tue Dec 30 2014 14:00:00 GMT-0800 (PST)
wba3n7c57fk222236,2015,BMW,4 Series,428i SULEV,coupe,automatic,ca,43.0,5330.0,blue,black,financial services remarketing (lease),37300.0,35000.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
5uxkr0c52f0k67136,2015,BMW,X5,xDrive35i,SUV,,ca,5.0,14618.0,silver,black,sixt rent a car llc,51800.0,46800.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
5uxkr0c50f0k69967,2015,BMW,X5,xDrive35i,SUV,automatic,oh,5.0,5601.0,white,—,bmw north america greer,55200.0,79500.0,Tue May 19 2015 07:00:00 GMT-0700 (PDT)
wbs3u9c59fj968073,2015,BMW,M4,Base,Convertible,manual,ga,48.0,3792.0,gray,black,financial services remarketing (lease),71000.0,70800.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
wba3a5g57fns82915,2015,BMW,3 Series,328i,Sedan,automatic,oh,49.0,5469.0,red,black,bmw north america greer,34500.0,45500.0,Tue May 19 2015 07:00:00 GMT-0700 (PDT)
wbs3r9c52ff708733,2015,BMW,M4,Base,Coupe,automatic,ca,44.0,5545.0,white,black,financial services remarketing (lease),68000.0,66500.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
wba5m4c58fd184093,2015,BMW,5 Series Gran Turismo,535i xDrive,Hatchback,,oh,35.0,6888.0,black,—,bmw north america,53300.0,52000.0,Tue Jun 16 2015 07:00:00 GMT-0700 (PDT)
wbs3u9c52fj967699,2015,BMW,M4,Base,Convertible,,pa,45.0,3365.0,black,red,capa wholesale cars inc,71000.0,71000.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
wba3x5c57fd561470,2015,BMW,3 Series Gran Turismo,328i xDrive,hatchback,automatic,nj,48.0,5884.0,black,—,bmw north america greer,38100.0,49250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5b3c51fd544546,2015,BMW,5 Series,535i xDrive,sedan,automatic,nj,49.0,5584.0,gray,—,bmw north america greer,49700.0,55750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3t3c5xfp738611,2015,BMW,4 Series,435i,convertible,automatic,nj,46.0,5932.0,black,black,bmw north america greer,50800.0,52500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3r5c59fk371949,2015,BMW,4 Series,435i xDrive,coupe,automatic,nj,49.0,2970.0,black,black,bmw na manheim new jersey,49700.0,50500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g55fns82766,2015,BMW,3 Series,328i,sedan,automatic,nj,47.0,15613.0,gray,black,bmw north america greer,32000.0,33500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5m2c52fd872174,2015,BMW,5 Series Gran Turismo,535i,hatchback,automatic,nj,47.0,9180.0,black,black,bmw north america greer,47400.0,50500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3x5c5xfd560250,2015,BMW,3 Series Gran Turismo,328i xDrive,hatchback,automatic,nj,48.0,4457.0,white,tan,bmw na manheim new jersey,38300.0,39250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g57fns82624,2015,BMW,3 Series,328i,sedan,automatic,nj,5.0,5003.0,silver,black,bmw north america greer,34700.0,33500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3v7c56fp771994,2015,BMW,4 Series,428i SULEV,convertible,automatic,nj,44.0,10223.0,black,black,bmw north america greer,48900.0,48750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3r1c56fk194849,2015,BMW,4 Series,435i,coupe,automatic,nj,45.0,6407.0,red,black,bmw north america greer,43200.0,42750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5b1c56fd922526,2015,BMW,5 Series,535i,sedan,automatic,nj,47.0,6440.0,—,black,bmw north america greer,46600.0,47500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3v5c54fp752459,2015,BMW,4 Series,428i,convertible,automatic,nj,45.0,4198.0,red,—,bmw north america greer,48900.0,49500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3x5c56fd560973,2015,BMW,3 Series Gran Turismo,328i xDrive,hatchback,automatic,nj,46.0,10639.0,gray,tan,bmw north america greer,37500.0,41500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g57fns82736,2015,BMW,3 Series,328i,sedan,automatic,nj,46.0,5273.0,white,black,bmw north america greer,34600.0,36000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b3g51fnr87002,2015,BMW,3 Series,328i xDrive,sedan,automatic,nj,48.0,5019.0,brown,black,bmw north america greer,35900.0,53500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5a7c56fd623530,2015,BMW,5 Series,528i xDrive,sedan,automatic,nj,5.0,8443.0,black,tan,bmw na manheim new jersey,45900.0,47500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g55fns82654,2015,BMW,3 Series,328i,sedan,automatic,nj,47.0,5149.0,black,black,bmw north america greer,34700.0,35500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5c50fp653582,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,48.0,8774.0,black,tan,bmw na manheim new jersey,38000.0,37250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3t3c54fp738197,2015,BMW,4 Series,435i,convertible,automatic,nj,49.0,4441.0,gray,—,bmw na manheim new jersey,51200.0,52750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b3g54fnr86815,2015,BMW,3 Series,328i xDrive,sedan,automatic,nj,5.0,5875.0,white,black,bmw north america greer,35700.0,39500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3c1c57fp852537,2015,BMW,3 Series,328i SULEV,sedan,automatic,nj,49.0,8165.0,blue,black,bmw north america greer,38100.0,43750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5g58fns11784,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,45.0,6617.0,gray,black,bmw north america greer,35500.0,36500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5g58fns13874,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,5.0,8487.0,white,black,bmw north america greer,35000.0,36000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g59fns82950,2015,BMW,3 Series,328i,sedan,automatic,nj,4.0,16634.0,white,black,bmw north america greer,31700.0,33500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b3g53fnr86353,2015,BMW,3 Series,328i xDrive,sedan,automatic,nj,5.0,11814.0,black,black,bmw north america greer,34100.0,35500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5c59ff960710,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,45.0,7982.0,—,black,bmw na manheim new jersey,38900.0,41500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3x5c51fd561335,2015,BMW,3 Series Gran Turismo,328i xDrive,hatchback,automatic,nj,39.0,6210.0,red,black,bmw north america greer,39700.0,39000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba8z5c54fd671568,2015,BMW,3 Series Gran Turismo,328i xDrive SULEV,hatchback,automatic,nj,43.0,6864.0,—,black,bmw na manheim new jersey,37300.0,35750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b3g55fnr87391,2015,BMW,3 Series,328i xDrive,sedan,automatic,nj,49.0,5458.0,white,—,bmw north america greer,35800.0,37500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g52fns82899,2015,BMW,3 Series,328i,sedan,automatic,nj,46.0,4244.0,gray,black,bmw north america greer,34900.0,36250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3x9c56fd868569,2015,BMW,3 Series Gran Turismo,335i xDrive,hatchback,automatic,nj,49.0,6001.0,red,black,bmw north america greer,43200.0,43000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3d3c5xfk157636,2015,BMW,3 Series,328d,sedan,automatic,nj,42.0,11002.0,red,black,bmw north america greer,37100.0,37500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5b1c50fd920464,2015,BMW,5 Series,535i,sedan,automatic,nj,49.0,8330.0,black,black,bmw north america greer,52200.0,56000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a9g5xfns66540,2015,BMW,3 Series,335i,sedan,automatic,nj,49.0,7163.0,gray,—,bmw north america greer,40800.0,41500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g54fns83746,2015,BMW,3 Series,328i,sedan,automatic,nj,5.0,5450.0,black,tan,bmw north america greer,70000.0,70500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5b1c59fd918647,2015,BMW,5 Series,535i,sedan,automatic,nj,43.0,4952.0,black,black,bmw north america greer,46800.0,46500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5b3c5xfd542925,2015,BMW,5 Series,535i xDrive,sedan,automatic,nj,44.0,5625.0,gray,tan,bmw north america greer,49700.0,54000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b3g50fnr87363,2015,BMW,3 Series,328i xDrive,sedan,automatic,nj,46.0,6108.0,white,black,bmw north america greer,38400.0,40250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g52fns82451,2015,BMW,3 Series,328i,sedan,automatic,nj,46.0,6869.0,—,black,bmw north america greer,34200.0,34250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5c51ff960779,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,42.0,7714.0,black,black,bmw na manheim new jersey,35200.0,36500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g53fns84192,2015,BMW,3 Series,328i,sedan,automatic,nj,45.0,6090.0,red,black,bmw north america greer,34400.0,35500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a9g57fns66818,2015,BMW,3 Series,335i,sedan,automatic,nj,49.0,4717.0,white,—,bmw north america greer,41000.0,42750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a9g55fns65750,2015,BMW,3 Series,335i,sedan,automatic,nj,43.0,5796.0,gray,black,bmw north america greer,38200.0,37000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g5xfns83797,2015,BMW,3 Series,328i,sedan,automatic,nj,43.0,4169.0,gray,—,bmw north america greer,37400.0,40000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3d5c59fkx99843,2015,BMW,3 Series,328d xDrive,sedan,automatic,nj,47.0,7395.0,—,black,bmw na manheim new jersey,40300.0,36750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5a7c52fd622536,2015,BMW,5 Series,528i xDrive,sedan,automatic,nj,5.0,1639.0,white,beige,bmw na manheim new jersey,48200.0,47500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3v5c55fp752373,2015,BMW,4 Series,428i,convertible,automatic,nj,36.0,7774.0,blue,black,bmw north america greer,48900.0,49000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba8z5c56fd671765,2015,BMW,3 Series Gran Turismo,328i xDrive SULEV,hatchback,automatic,nj,48.0,2449.0,blue,tan,bmw na manheim new jersey,38500.0,41250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba8z5c58fd671881,2015,BMW,3 Series Gran Turismo,328i xDrive SULEV,hatchback,automatic,nj,49.0,2097.0,blue,black,bmw na manheim new jersey,37800.0,38000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5a5c57fd517141,2015,BMW,5 Series,528i,sedan,automatic,nj,48.0,10649.0,gray,black,bmw north america greer,44900.0,46000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5g51fns17023,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,5.0,6075.0,gray,black,bmw na manheim new jersey,35600.0,38000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3t3c56fp738637,2015,BMW,4 Series,435i,convertible,automatic,nj,42.0,7193.0,black,black,bmw north america greer,50500.0,51000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a9c58fkw74140,2015,BMW,3 Series,335i,sedan,automatic,nj,42.0,8220.0,black,black,bmw north america greer,37400.0,39000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba4b1c56fd955148,2015,BMW,4 Series Gran Coupe,435i,sedan,automatic,nj,47.0,9391.0,white,black,bmw north america greer,46500.0,47000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3v5c58fp752366,2015,BMW,4 Series,428i,convertible,automatic,nj,5.0,5996.0,black,black,bmw north america greer,48900.0,49000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g57fns82770,2015,BMW,3 Series,328i,sedan,automatic,nj,47.0,14242.0,gray,—,bmw north america greer,32400.0,32750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3v7c52fp771975,2015,BMW,4 Series,428i SULEV,convertible,automatic,nj,44.0,4375.0,white,black,bmw north america greer,48900.0,48500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3t3c57fp738887,2015,BMW,4 Series,435i,convertible,automatic,nj,49.0,4130.0,black,black,bmw north america greer,51300.0,52500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g51fns82960,2015,BMW,3 Series,328i,sedan,automatic,nj,44.0,6714.0,gray,black,bmw north america greer,37500.0,38250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3t3c56fp738864,2015,BMW,4 Series,435i,convertible,automatic,nj,46.0,5452.0,silver,black,bmw north america greer,51000.0,48500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b3g52fnr86702,2015,BMW,3 Series,328i xDrive,sedan,automatic,nj,49.0,6438.0,black,—,bmw north america greer,35500.0,36750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b5g58fns13311,2015,BMW,3 Series,328i xDrive SULEV,sedan,automatic,nj,44.0,7106.0,—,black,bmw na manheim new jersey,38200.0,37500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5a7c55fd623101,2015,BMW,5 Series,528i xDrive,sedan,automatic,nj,44.0,9778.0,gray,black,bmw na manheim new jersey,45500.0,48000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g58fns82647,2015,BMW,3 Series,328i,sedan,automatic,nj,46.0,4808.0,white,black,bmw north america greer,34800.0,36250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba8z5c53fgs36183,2015,BMW,3 Series Gran Turismo,328i xDrive SULEV,hatchback,automatic,nj,5.0,4439.0,blue,beige,bmw na manheim new jersey,37500.0,36000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3r5c58fk371893,2015,BMW,4 Series,435i xDrive,coupe,automatic,nj,49.0,1993.0,—,black,bmw na manheim new jersey,44300.0,48750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3r1c53fk193576,2015,BMW,4 Series,435i,coupe,automatic,nj,49.0,9624.0,gray,black,bmw north america greer,42800.0,44250.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3n3c5xfk233336,2015,BMW,4 Series,428i,coupe,automatic,nj,48.0,11030.0,white,black,bmw north america greer,35400.0,38000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3b9g5xfnr93609,2015,BMW,3 Series,335i xDrive,sedan,automatic,nj,44.0,4964.0,blue,—,bmw north america greer,40400.0,40750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3x9c55fd868210,2015,BMW,3 Series Gran Turismo,335i xDrive,hatchback,automatic,nj,5.0,4864.0,—,gray,bmw na manheim new jersey,43300.0,45750.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3t3c53fp738899,2015,BMW,4 Series,435i,convertible,automatic,nj,48.0,3312.0,white,black,bmw north america greer,51500.0,51500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3v7c51fp772017,2015,BMW,4 Series,428i SULEV,convertible,automatic,nj,47.0,5771.0,black,black,bmw north america greer,48900.0,48000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba5m2c59fd872236,2015,BMW,5 Series Gran Turismo,535i,hatchback,automatic,nj,49.0,6529.0,gray,black,bmw north america greer,48000.0,48000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3a5g56fns82937,2015,BMW,3 Series,328i,sedan,automatic,nj,49.0,6797.0,gray,black,bmw north america greer,37400.0,37500.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
wba3x5c53fd560932,2015,BMW,3 Series Gran Turismo,328i xDrive,hatchback,automatic,nj,5.0,4516.0,black,black,bmw north america greer,39900.0,41000.0,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
